Temperature,RtR25,Resistance,dRR,alpha,dT,Rmin,Rmax
-40.0,33.20935672,332093.568,7.93,-6.62,1.20,305763.446,358423.691
-39.0,31.09028680,310902.869,7.87,-6.57,1.20,286431.003,335374.736
-38.0,29.11961359,291196.137,7.81,-6.53,1.20,268440.883,313951.391
-37.0,27.28608669,272860.868,7.76,-6.48,1.20,251692.142,294029.594
-36.0,25.57936988,255793.700,7.70,-6.44,1.20,236091.972,275495.427
-35.0,23.98996208,239899.622,7.65,-6.39,1.20,221555.009,258244.235
-34.0,22.50912559,225091.257,7.59,-6.35,1.20,208002.692,242179.822
-33.0,21.12882081,211288.209,7.54,-6.31,1.20,195362.690,227213.728
-32.0,19.84164691,198416.470,7.48,-6.26,1.19,183568.376,213264.564
-31.0,18.64078776,186407.878,7.43,-6.22,1.19,172558.346,200257.411
-30.0,17.51996282,175199.629,7.38,-6.18,1.19,162275.982,188123.275
-29.0,16.47338222,164733.823,7.32,-6.14,1.19,152669.061,176798.585
-28.0,15.49570603,154957.061,7.27,-6.10,1.19,143689.383,166224.739
-27.0,14.58200694,145820.070,7.22,-6.06,1.19,135292.446,156347.694
-26.0,13.72773627,137277.363,7.17,-6.02,1.19,127437.142,147117.584
-25.0,12.92869303,129286.931,7.12,-5.98,1.19,120085.483,138488.379
-24.0,12.18099551,121809.956,7.07,-5.94,1.19,113202.344,130417.567
-23.0,11.48105544,114810.555,7.02,-5.90,1.19,106755.238,122865.871
-22.0,10.82555432,108255.544,6.97,-5.86,1.19,100714.101,115796.986
-21.0,10.21142179,102114.218,6.92,-5.82,1.19,95051.101,109177.335
-20.0,9.63581581,96358.158,6.87,-5.78,1.19,89740.459,102975.857
-19.0,9.09610455,90961.046,6.82,-5.75,1.19,84758.291,97163.801
-18.0,8.58984980,85898.498,6.77,-5.71,1.19,80082.455,91714.542
-17.0,8.11479176,81147.918,6.72,-5.67,1.19,75692.419,86603.417
-16.0,7.66883506,76688.351,6.68,-5.63,1.18,71569.132,81807.569
-15.0,7.25003604,72500.361,6.63,-5.60,1.18,67694.916,77305.806
-14.0,6.85659096,68565.910,6.58,-5.56,1.18,64053.352,73078.468
-13.0,6.48682526,64868.253,6.53,-5.53,1.18,60629.191,69107.314
-12.0,6.13918366,61391.837,6.49,-5.49,1.18,57408.262,65375.411
-11.0,5.81222110,58122.211,6.44,-5.46,1.18,54377.391,61867.031
-10.0,5.50459435,55045.944,6.40,-5.42,1.18,51524.325,58567.562
-9.0,5.21505437,52150.544,6.35,-5.39,1.18,48837.665,55463.423
-8.0,4.94243922,49424.392,6.31,-5.35,1.18,46306.800,52541.984
-7.0,4.68566756,46856.676,6.26,-5.32,1.18,43921.852,49791.500
-6.0,4.44373268,44437.327,6.22,-5.28,1.18,41673.616,47201.038
-5.0,4.21569699,42156.970,6.18,-5.25,1.18,39553.520,44760.420
-4.0,4.00068692,40006.869,6.13,-5.22,1.18,37553.567,42460.171
-3.0,3.79788824,37978.883,6.09,-5.19,1.17,35666.305,40291.460
-2.0,3.60654177,36065.418,6.05,-5.15,1.17,33884.779,38246.057
-1.0,3.42593936,34259.394,6.00,-5.12,1.17,32202.499,36316.289
0.0,3.25542021,32554.202,5.96,-5.09,1.17,30613.405,34494.999
1.0,3.09436754,30943.675,5.92,-5.06,1.17,29111.840,32775.511
2.0,2.94220534,29422.054,5.88,-5.03,1.17,27692.517,31151.590
3.0,2.79839560,27983.956,5.84,-5.00,1.17,26350.495,29617.417
4.0,2.66243551,26624.355,5.80,-4.97,1.17,25081.155,28167.555
5.0,2.53385507,25338.551,5.76,-4.93,1.17,23880.177,26796.925
6.0,2.41221475,24122.148,5.72,-4.90,1.17,22743.518,25500.778
7.0,2.29710341,22971.034,5.68,-4.87,1.16,21667.395,24274.673
8.0,2.18813628,21881.363,5.64,-4.85,1.16,20648.268,23114.457
9.0,2.08495317,20849.532,5.60,-4.82,1.16,19682.819,22016.244
10.0,1.98721680,19872.168,5.56,-4.79,1.16,18767.941,20976.395
11.0,1.89461122,18946.112,5.52,-4.76,1.16,17900.720,19991.504
12.0,1.80684034,18068.403,5.48,-4.73,1.16,17078.428,19058.379
