DCd1,Td1,t_readingd1,t_inputd1,signal0d1,DC1,T1,t_reading1,t_input1,signal01,DC2,T2,t_reading2,t_input2,signal02
1,23.90912943,347.6607664,332.6050357,1.886608016,0,20.85427371,15.19137453,0.002918979,1.876832845,0,20.39429001,15.18071563,0.002315315,1.901270772
0.947368421,24.10633069,362.7240238,347.6647892,0,0.052631579,21.13342197,30.30323894,15.20843978,1.862170088,0.052631579,20.48686625,30.29659187,15.1989156,1.896383187
0.894736842,23.71595366,377.7739839,362.7260618,0,0.105263158,21.03814396,45.41590606,30.30450965,1.867057674,0.105263158,20.85427371,45.38049445,30.29799594,1.876832845
0.842105263,23.52161941,392.8171684,377.7747817,0,0.157894737,21.13342197,60.48745796,45.41717531,1.862170088,0.157894737,20.67114676,60.44426476,45.38143141,1.886608016
0.789473684,23.227923,407.8570617,392.8180025,0,0.210526316,21.60539419,75.58126693,60.48864981,1.83773216,0.210526316,20.85427371,75.5318865,60.44534245,1.876832845
0.736842105,23.227923,422.8993918,407.8598953,0,0.263157895,21.51158424,90.63934953,75.59183176,1.842619746,0.263157895,21.03814396,90.57863669,75.54048773,1.867057674
0.684210526,22.93490886,437.9304898,422.8998371,0,0.315789474,21.60539419,105.6783494,90.63995166,1.83773216,0.315789474,21.22840363,105.6181225,90.57921301,1.857282502
0.631578947,22.93490886,452.9664661,437.9309787,0,0.368421053,21.51158424,120.7122597,105.6788117,1.842619746,0.368421053,21.32309031,120.6531917,105.6186536,1.852394917
0.578947368,22.74557403,468.0009766,452.9669167,0,0.421052632,21.88509219,135.7436606,120.7125262,1.823069404,0.421052632,21.41748339,135.6957513,120.6536464,1.847507331
0.52631579,22.650475,483.0365983,468.0014824,0,0.473684211,21.977752,150.782976,135.7443309,1.818181818,0.473684211,21.51158424,150.7313285,135.6963973,1.842619746
0.473684211,22.26717067,498.076123,483.0370476,0,0.52631579,22.17061085,165.8183616,150.7834162,1.808406647,0.52631579,21.69891462,165.7622514,150.7318283,1.832844575
0.421052632,22.07375483,513.110917,498.076574,0,0.578947368,22.26717067,180.8538673,165.8188169,1.803519062,0.578947368,21.977752,180.7982244,165.7626807,1.818181818
0.368421053,21.977752,528.1502593,513.1113663,0,0.631578947,22.55508648,195.8893737,180.8543217,1.788856305,0.631578947,22.74557403,195.833148,180.7986514,1.779081134
0.315789474,21.79214684,543.1856541,528.1507276,0,0.684210526,22.55508648,210.9241204,195.8898232,1.788856305,0.684210526,22.55508648,210.8688079,195.8335913,1.788856305
0.263157895,21.69891462,558.2208724,543.1861051,0,0.736842105,22.74557403,225.9591092,210.9245624,1.779081134,0.736842105,22.74557403,225.9115775,210.8692424,1.779081134
0.210526316,21.32309031,573.2559965,558.2213284,0,0.789473684,23.12943355,240.99411,225.959546,1.759530792,0.789473684,22.93490886,240.9468531,225.9119963,1.769305963
0.157894737,21.22840363,588.2870516,573.2564413,0,0.842105263,23.12943355,256.0334502,240.9943763,1.759530792,0.842105263,23.03064656,255.9820805,240.9473359,1.764418377
0.105263158,21.03814396,603.3184108,588.2875461,0,0.894736842,23.12943355,271.0690418,256.033886,1.759530792,0.894736842,23.61893199,271.0171792,255.9825677,1.735092864
0.052631579,20.85427371,618.3538748,603.3189517,0,0.947368421,23.52161941,286.104258,271.0694367,1.73998045,0.947368421,23.4240146,286.0488327,271.0177953,1.744868035
0,20.67114676,633.3850371,618.3543275,1.886608016,1,23.71595366,301.1355634,286.1047207,1.730205279,1,23.61893199,301.0841143,286.0493471,1.735092864
